adid,location,addate,title,price,paymentoptions,description,fueltype,kilometers begin,kilometers end,color,transmission,bodytype,enginecapstart,enginecapend
196511289,Almazah,03-25-2023,هيونداي,140000,Installments,هيونداي اكسنت 2010 رشه أجزاء من الخارج داخل زيرو كامله اوتوماتيك السياره لا تحتاج لاى مصروف جنيه يوجد لدينا جميع انواع التقسيط للإستفسار برجاء الاتصال على الأرقام. 0114840660301000802412,Benzine,100000,119999,,Automatic,Sedan,1600,
195496860,Nasr City,03-21-2023,Range Rover Velar 2020 . . MTI,1500000,Installments,Range Rover velar 2020Mti60000kmProtaction All services till 60000 done at mti4 new tires Like new CASH & CRIDETFor more info:01144091000011440420000114403500001000094257ORVisit us @ :18 Hafez Ramadan . st Nasr City between Ahmed fakhry & Hasan elmaamon beside Abdo kofta google. com/maps?q=30.06882095336914%2C31.352031707763672&z=17&hl=en,Benzine,50000,59999,White,Automatic,SUV,1800,2000
196455654,Shubra,03-20-2023,نيسان سنترا اعلي فئه بصمه فابريكه,355000,Cash,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا اكصدامات كامله اعلي فئه بصمه رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,100000,119999,Gray,Automatic,Sedan,1600,
196201557,Maadi,03-21-2023,2015 Mazda 6 - مازدا ٦ ٢٠١٥,585000,Cash,Smart Car presents this 2015 Mazda 6 with 102000KMs for sale. This vehicle has original factory paint on all body panels except for the front bumper hood and front left fender. If you have any questions please don’t hesitate to call us. WhatsApp is also available. Our Dealership hours are 10AM -10PM Sunday to Thursday. Viewing can be arranged by appointment however walk-ins are also welcome. - 151 Corniche El Nile Maadi Cairo Egypt-مازدا ٦ موديل ٢٠١٥ للبيع. السيارة مشية ١٠٢٬٠٠٠ كم. فبريكة بالكامل ماعدا إكصدام أمامي، كبوت، ورفرف أمامي شمال. موتور سكاي اكتيف ٢٠٠٠ سي سي  ١٦٥ حصانللأستفسارات او تحديد موعد للمعاينة برجاء الاتصال بنا تليفونيا او من خلال الواتساب. ساعات العمل من ١٠ صباحًا حتى ١٠ مساءً من الأحد إلى الخميس. _العنوان :شركة سمارت كار ١٥١ شارع كورنيش النيل – المعادى القاهرة_,Benzine,90000,99999,Red,Automatic,Sedan,1800,2000
195994170,Basateen,03-25-2023,رينو ميجان موديل 2021 متاح تقسيط مباشر وشركات,540000,Installments,* رينو ميجان اول فئه  * موديل 2021* عداد 88000 كم * فابريكا بالكامل ما عدا مرمات في الجنب اليمين # متاح مقدم 50 % باقل فايده مستعمل استعلام بيت وشغل #متاح تقسيط مباشر مقدم ٦٠٪ بصوره البطاقه وضامن فقط واستعلام بيت فقط . # تقسيط مباشربدفع 50% استعلام بيت فقط وضامن واستلام في نفس اليوم . # متاح تقسيط درايف مقدم يبدا من 50 % وقسط يصل الي 5 سنين للموظفين واصحاب الانشطه استعلام بيت وشغل . #اختار العربيه وخلي التقسيط عليناللإستفسار يرجى الاتصال بنا على الارقام التاليه 01119555187 -  -01005003993- 0106151476701121604912او يمكنك زيارتنا فى  طريق الاوتوستراد الرئيسي المعادى بعد نزله شارع النصر مباشره بجوار بنك مصر وأمام بنزينه وطنيه. #سيب_المستعمل_لناسه#سوق_السيارات#اقوى_عروض_تقسيط#انت_الاهماو يمكنك زيارتنا فى  طريق الاوتوستراد الرئيسي المعادى بعد نزله شارع النصر مباشره بجوار بنك مصر وأمام بنزينه وطنيه. #سيب_المستعمل_لناسه#سوق_السيارات#اقوى_عروض_تقسيط#انت_الاهم,Benzine,70000,79999,,Automatic,Sedan,1400,1500
196289321,Heliopolis,03-24-2023,jaguar f type  2015-جمرك,850000,Cash,super charged 134000KM - Fully LoadedThis car is trip ticket for the other nationalities and foriegn residentsهذه السيارة جمرك بنظام التربتك لاصحاب الجنسيات الاخري والمقيمين بالخارج والاجانب وللمذيد من الاستفسار Call or Whatsapp 01277774155او تفضلوا بزيارة فرع الشركة بمصر الجديدةلمذيد من السيارات في حساب انستقرام  @planbexotic,Benzine,120000,139999,Red,Automatic,Coupe,1800,2000
196461134,New Cairo - El Tagamoa,03-20-2023,Toyota Corolla 2019,680000,Cash,تويوتا كورولا ٢٠١٩ فئة تانية فبريكا بالكامل و حالة ممتازةعداد ٧٢،٢٠٠ كم 2 airbagsbluetoothجنط ١٦ABS/EBD/ESPمطلوب 680٠٠٠,Benzine,70000,79999,Gray,Automatic,Sedan,1600,
196446039,Heliopolis,03-19-2023,Merceds C180 - 2010 Classic,625000,Cash,Merceds C180 - 2010 Classic السيارة فابريكة  عدا اكصدامين ورفرف وباب من المالك مباشرة بدون توكيلات رخصه سنة  صيانات منتظمة بصفة دورية كاوتش جديد من شهر المعاينه : مصر الجديدة - ميدان الحجاز,Benzine,200000,,Blue- Navy Blue,Automatic,Sedan,1600,
196396274,New Nozha,03-25-2023,Mercedes CLS 350 One With this features in egypt special edition car,2435000,Cash,مرسيدس cls 350 الوحيده في مصر بهذه المواصفات ، سياره كامله متكامله ٢٥ سماعه بروماستر كراسي مساج كراسي تسخين /تبريد كراسي. تسخين خلفي كراسي دينامك رادار لاين اسيست فرش بيج طاره بيج اير ساسبنشن *مش موجود في ولا عربيه في مصر * فيلم حمايه من protect me العربيه فبريكا بالكاملالعربيه صيانات توكيل لاخر كيلو مفهاش مصروف جنيه *لسه كاشف عليها عند ابو غالي مفهاش جنيه مصروف * جنوط جديده /كوتشات جديدهمواصفات اخري كتير السعر قابل للتفاوض البسيط جدا ،,Benzine,70000,79999,Blue- Navy Blue,Automatic,Sedan,1800,2000
195663544,Almazah,03-21-2023,للبيع ستروين اكسارا حالة ممتازة لا تحتاج مصروف,125000,Cash,للبيع ستروين اكسارا مانوالتكييف وباور وسنترلوك ومفتاح ريموت كاسيت بيونير وسماعات سونيحالة ممتازة كاوتش وبطارية وصيانات توكيلفابريكا دواخلطقم جنوط وبطارية فارتا لاتحتاج اي مصاريف مرور قوات مسلحة المعاينة خير دليل للاستعلام 01229859996 المالك المعاينة مصر الجديدة,Benzine,200000,,Gold,Manual,Sedan,1600,
195956152,Nasr City,03-19-2023,نيسان صني جميع الكماليات اتوماتيك تاني فئة,308000,Cash,نيسان صني جميع الكماليات اتوماتيك تانى فئة أستخدام خفيف  رخصة سنة,Benzine,40000,49999,Gray,Automatic,Sedan,1400,1500
196079935,Al Amiriyyah,03-22-2023,MG HS  2021 للبيع كاش او بتقسيط مباشر مع معرض فتحي موتورز,825000,Cash,#فتحي_موتورز #الحوت#البيع_كاش_او_بتقسيط_مباشر_مع_المعرض#MG_HSالموديل : 2021ناقل : اوتوماتيكالعداد : 71000#اعلي_فئهالسياره فبريكا من الداخل والخارج بالكامل #المعاينة:الاميريه امام مستشفي الزيتون التخصصي بجوار وحده ترخيص الاميريه خلف مصنع بسكو مصر#للاستفسار : 01226455457: 01111553587: 01114498736: 01110021701,Benzine,70000,79999,Other Color,Automatic,Hatchback,,
196305631,Madinaty,03-23-2023,porsche boxster -بورش,1460000,Installments,Porsche Boxster 718 GTSM/Y 2019 KM 290002500 CC Deposit 1460000يوجد اقل مقدم واطول فتره سداد برجاء الاتصال علي 01029400004,Benzine,0,9999,Blue- Navy Blue,Automatic,Cabriolet,2200,2800
196496802,Shubra,03-23-2023,بي واي دي f3 2020,225000,Cash,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب كامله مانيوال صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,70000,79999,Gold,Automatic,Sedan,1600,
196065698,Nasr City,03-19-2023,citroen c5 الفئة الثانية حالة ممتازة,820000,Cash,cotroen c5 الفئة الثانية حالة ممتازة فابريقه بالكامل جوه وبره فيها iprotect لحمايتها فيها فتحة سففالعربية كلها صيانتها في التوكيلعاملة ١٤٩ الف كيلو,Benzine,140000,159999,Gray,Automatic,SUV,1800,2000
196449125,Heliopolis,03-19-2023,بحاله المصنع تماما مرور النزهه,950000,Cash,بحاله الزيرو تماما فبريكا بره و جوه بالكامل كراسى كهربا بلوتوث فرامل abs ebd ايرباجز جنوط طاره مالتى فنكشن مثبت سرعه محدد سرعه سبورت مود تكييف تاتش لا تحتاج إلى مصاريف نهائي,Benzine,60000,69999,Black,Automatic,Sedan,1600,
196495124,Shubra,03-23-2023,هيونداي الينترا كامله فتحه سقف,355000,Cash,السياره بحاله ممتازه فابريكه من داخل ورشه بالخارج كامله اعلي فئه فتحه سقف رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,100000,119999,Blue- Navy Blue,Automatic,Sedan,1600,
196446441,Maadi,03-19-2023,رينو اوتوماتيك,170000,Cash,رينو ميجان اوتوماتيك 2005فبريكا دواخل بالكامل رشه من الخارج عدا السقف لتجميل المظهر الخارجى السعر نهائي لعدم الاحراجلا يوجد بها اى اعطال متاح الكشف,Benzine,160000,179999,Gray,Automatic,Sedan,1600,
196459936,New Cairo - El Tagamoa,03-22-2023,Mercedes cla urban (highest  category ),1300000,Cash,Mercedes cla urban 2019,Benzine,80000,89999,Gray,Automatic,Sedan,1600,
196484878,New Cairo - El Tagamoa,03-22-2023,Range Rover DiscoverySport 2016,1450000,Cash,رانج روفر ديسكفري سبورت 2016السيارة فبريكا بالكامل 138500 كم جنوط سبورت 19فتحة سقف بانوراما طاره مالتى ماتور 20000 تربوفتيس 9 غيار مرايات ضم كراسي كهرباء فوانيس امامية ليد زينونفوانيس خلفية ليدبصمة تكيف تاتش كاسيت تاتشصيانات توكيل لحد 110000 كم معمول كل الصيانات كاوتش بحالة جيده,Benzine,120000,139999,Black,Automatic,4X4,1800,2000
196518173,Nasr City,03-25-2023,Mercedes-Benz C300  coupe 2020/ مرسيديس C300 كوبيه ٢٠٢٠,2350000,Cash,BRAND : Mercedes-Benz M/Y : 2020MILEAGE :  36000 KM EXTERIOR COLOR :  white INTERIORCOLOR :  Brown 8 Hafez ramadan street -ahmad fakhry (nasr city) : 01278339902-01288290190,Benzine,30000,39999,White,Automatic,Coupe,1600,
196146734,Heliopolis,03-25-2023,Seat leon FR,1380000,Cash,Seat leon FR    2022only 16000 kmwith factory paint memory seats wireless charger,Benzine,10000,19999,Red,Automatic,Hatchback,1400,1500
195582491,New Cairo - El Tagamoa,03-19-2023,Jaguar xe p250,2600000,Cash,Jaguar xe p25017000kmall services donefully loaded 2020panaromaledsAvailable now in our showroom JAGUAR XE R DYNAMIC ‎استيرادWhite X brown leather2000CCP250250hp  Sliding panoramic roof Privacy glass  Premium LED headlights with signature DRL Auto High Beam Assist (AHBA)Gloss Black grille with Gloss Black surround Gloss Black side window surroundsGloss Black side ventsMeridian sound systemFULLY electric front seatsSport seatsEbony Morzine headliningMonogram Aluminium trim finisher R-Dynamic branded leather steering wheel Electrically adjustable steering column MeridianTM Sound SystemTouch Pro DuoInteractive Driver DisplayPark AssistElectrically adjustableKeyless EntryHeated door mirrors  Heated rear windowAutomatic headlightsR-Dynamic side sillsAnimated Directional Indicators Dual tailpipes with 84mm finishersVariable intermittent wipers Rain sensing windscreen wipers R-Dynamic bumperR-Dynamic badgeflash lane change indicators‎سقف بانورامي منزلق‎ زجاج الخصوصية‎ مصابيح أمامية فاخرة بتقنية LED مع مساعد الضوء العالي التلقائي DRL (AHBA)‎ شبك أسود لامع مع أسود لامع يحيط بالنوافذ الجانبية باللون الأسود اللامع‎ فتحات جانبية باللون الأسود اللامع‎ نظام الصوت Meridian‎ مقاعد أمامية كهربائية بالكامل‎ مقاعد رياضية‎ بطانة السقف من خشب الأبنوس المورزين‎ تشطيب ألومنيوم مونوغرام بعجلة قيادة جلدية تحمل العلامة التجارية R-Dynamic قابلة للضبط كهربائياً ، نظام صوت MeridianTM Touch Pro Duo‎ شاشة عرض تفاعلية للسائق‎ حديقة مساعدة‎ قابل للتعديل كهربائيا‎ دخول بدون مفتاح‎ مرايا أبواب مدفأة‎ نافذة خلفية مدفأة‎ المصابيح الأمامية الأوتوماتيكية‎ عتبات جانبية R-Dynamic‎ مؤشرات اتجاهية متحركة عادم مزدوج مع نهايات 84 مم‎ المساحات المتغيرة والمتقطعة مساحات الزجاج الأمامي المستشعر للمطر R-Dynamic ممتص الصدمات‎ شارة R-Dynamic‎فلاش مؤشرات تغيير الحارةFOR MORE INFORMATION  : 01126754000,Benzine,10000,19999,White,Automatic,Sedan,1800,2000
196510067,Downtown Cairo,03-25-2023,رانج روفر ايفوك فابريكه,1000000,Cash,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب نتيجه خرابيش وحكات كامله اعلي فئه رخصه ساريه من اول مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,120000,139999,White,Automatic,SUV,1800,2000
196446023,Heliopolis,03-19-2023,كيا سيراتو 2011 تانى فئه بلوتوث طاره مالتى جنوط,355000,Cash,جنوط طاره مالتى فنكشن ايرباجبلوتوث,Benzine,90000,99999,,Automatic,Sedan,1600,
196496959,Shubra,03-23-2023,مرسيدس b200 ممتازه,500000,Cash,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب نتيجه خرابيش وحكات كامله اعلي فئه بدون فتحه سقف كراسي جلد رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف,Benzine,160000,179999,Black,Automatic,Hatchback,1600,
196453748,Nasr City,03-20-2023,Mercedes Benz C180 Avntgarde plus,1700000,Installments,Mercedes Benz C180 Avntgarde plus     2022      1500 CC       6000 km        170 hp    4 Cylinders    silver * GrayMultifunction steering wheels Lumber Supportkeyless start/ StopCarpetsAmbient lighting Auto dimming mirrorFolding rear seats Display 11.9 inch7 Airbags Auto parkspeakers Auto Folding mirror Rain sensors Head lamps LED Auto Headligts LED daytime running lamps Tinted glass speed limiteractive Brake assist selectable Driving modesfor more info :010010950810111 2152222010022022220100210524301114877400Or visit us at:18 ElTayarn . st NasrcityFacebook page: facebook. com/ElTayaranCars,Benzine,0,9999,Silver,Automatic,Sedan,1400,1500
196485648,New Nozha,03-22-2023,بى ام دبليو 316i‏Luxury موديل 2015,665000,Cash,كيت  امامى وفوانيس ليدموديل 2015فبريكا بره و جوه ما عدا رفرفين نظافةعداد 127 الف كم,Benzine,120000,139999,Black,Automatic,Sedan,1600,
196375442,New Cairo - El Tagamoa,03-20-2023,BMW 850,5200000,Cash,#DIAMOND_AUTOMOTIVE#THE_BEST_OR_NOTHING BMW M850  M/Y 2020  Only 38000 KM صيانات منتظمه بصفه دوريه السيارة فبريكه بالكامل بدون ملحوظه يوجد بها طبقه حماية من الزيرو  المعاينه / 29 عبد الواحد فهمي - مصر الجديدة للتواصل :01065180570011257840870106133379201120310303,Benzine,30000,39999,Gray,Automatic,Cabriolet,3000,
196306100,Mokattam,03-19-2023,صني 2022 الفئة الثانية شاشه فابريكة بالكامل,415000,Cash,صني 2022 الفئة الثانيه فابريكة بالكامل ( شاشه ،جنوط،حساسات،كاميرا خلفيه ، زجاج ملون ،اسبويلر خلفي ) فيها جهاز غاز بالحقن المتزامن جديد خالص الثمن    لسه عامل صيانه كامله زيوت و فلاتر و تيل فرامل في مركز نيسان ،رخصه سنه بأسمي مرور المقطم.  العربية ماشيه 52 ألف كم.  السعر نهائي لعدم اضاعة الوقت.,Natural Gas,50000,59999,Brown,Automatic,Sedan,1400,1500
195536981,Heliopolis,03-25-2023,Mercedes E200,2500000,Exchange,Mercedes Benz E200 AMG Pre owned 2018Color: white x brown Fully loaded Extremely good condition Rims : R20360* cameras Blind spot Soft closeting doors Keyless entry Electric trunk Heading and cooling seats Memory seats Four zones ACPanoramic sunroof Ambient Lighting 64 colors Multi beam headlights Burmester sound system surround Tented glassAll safty features,Benzine,50000,59999,,Automatic,Sedan,1800,2000
196453560,New Cairo - El Tagamoa,03-25-2023,CLA200 2014,850000,Cash,cla200 2014 114k kmفابريكا برة و جوةفتحة سقف و كراسي جلدمعمولها صياناتهامرور زايدجاهز للكشف في اي وقتالسعر نهائيالاتصال للجادين فقط علي هذا الرقم: 01000211707,Benzine,100000,119999,,Automatic,,,
196518326,Nasr City,03-25-2023,كروز 2014 أعلى فئه بحاله ممتازه,325000,Cash,كروز 2014 أعلى فئه بحاله ممتازه. . فابريكة بالكامل . .  رشه بعض الأجزاء بسيطه جدا فى الجامبين . . نظافه فقط . . فرش الفابريكه . . ماتور و عفشه. . بحاله ممتازه . . صيانات دوريه بانتظام عند مركز معتمد كروز  زى التوكيل . . عداد 135000 كيلو . . كاوتش جديد. . بطاريه ديلكو جديده. . تم تغيير سيور وزيوت وتيل فرامل. من 10 آلاف ك . . لسه عامل دوره مياه حمرا . . كل شئ يعمل بكفاءة عالية. . السياره مش محتاجه جنيه مصروف . . رخصه لشهر 10 . . مستعد الكشف فى اى مكان فى محيط مدينه نصر . . او إحضار فنى  . .,Benzine,120000,139999,Black,Automatic,Sedan,1600,
196016108,Downtown Cairo,03-23-2023,شراء  حادثة حادث  سيارات حوادث حادثه,707000,Cash,شراء سيارات حوادث باعلي سعر من جميع محافظات مصروفي اسرع وقت واعلي سعر بما يرضي اللهشراء سيارات مخبوطه شراء سيارات تحتاج موتور او فتيس accident,Benzine,20000,29999,Other Color,Automatic,Sedan,1600,
196481996,New Nozha,03-25-2023,كوجا زيروووو للبيع 2019,950000,Cash,رخصه ساريه سنه امتداد ضمان الوكيل كشافات عدسات ليد ارضيات جلد كراسي جلد عداد 52000كم السيارة فابريكة بالكامل الفئة تريند مرور قوات مسلحه مالك اول ترخيص 7/2020 صيانات توكيل للاستعلام 01102252225,Benzine,50000,59999,Gold,Automatic,,1400,1500
196504530,New Cairo - El Tagamoa,03-25-2023,Toyota corolla 2012 Japan تويوتا كورولا ٢٠١٢ ياباني أول مالك,400000,Cash,السعر نهائي نهائي نهائيتويوتا كرولا ٢٠١٢ياباني الفئه الاوليحاله ممتازهأول أيد من الزيرويوجد بويه بالشنطه من الداخلوالرفرف الشمال وباب الشنطهباقي العربيه فابريقه,Benzine,200000,,Black,Automatic,Sedan,1600,
196435544,Nasr City,03-25-2023,سكودا سوبرب إمبيشن2019,1070000,Cash,بسم الله توكلنا على اللهسكودا سوبربإمبيشنموديل 2019عداد 39 ألف كمفبريكا بالكامل ماعدا جزء من باب ورفرف يمين خلفىيوجد لدينا أنظمة تقسيط متعددة,Benzine,30000,39999,White,Automatic,Sedan,1600,
196516104,Obour City,03-25-2023,هيونداي ix35,560000,Cash,ix 35هيونداي اعلى فئه بصمه وبانوراما وسخانات وتحكم ومثبت سرعه و أي بي اس ومرايات ضمبحالة ممتازة جدا جداكبوت وسقف وشنطه فابريكادواخل فابريكة بالكاملرخصه 3 سنوات,Benzine,160000,179999,Brown,Automatic,SUV,1600,
196436380,Obour City,03-25-2023,بيع لانسر اول فئه كلاسيك٢٠٠٧ فبريكا دواخل,240000,Cash,السيارة رشه برا عدا السقف والدواخل فبريكا كامله اول فئه كلاسيك ١٦٠٠تكيف تلاجه مكنه ممتازه كاوتش جديد عفشه ممتازه بطاريه بالضمان رخصه سنه مرور الفيوم السعر نهائي,Benzine,100000,119999,Blue- Navy Blue,Automatic,Sedan,1600,
196265481,Nasr City,03-25-2023,كرولا ٢٠١٤ لون مميز فبريكه بالكامل,500000,Cash,السياره فبريكه بالكامل الفئه الثانيه لون احمر استخدام عائلي صيانه منتظمه في التوكيل مالك اول,Benzine,120000,139999,Red,Automatic,Sedan,1400,1500
196451708,Nasr City,03-25-2023,جيلى أم جراند X7,525000,Cash,بسم الله توكلنا على اللهجیلی ام جراند  X7موديل 2020عداد 12 ألف كمصيانات توكيل منتظمةفبريكا بالكاملرخصه 3 سنواتيوجد لدينا أنظمة تقسيط متعددةwww. facebook. com/groups/1076356609657867/,Benzine,10000,19999,White,Automatic,Hatchback,1600,
196435981,New Cairo - El Tagamoa,03-25-2023,للبيع. . MG RX5 موديل 2019 أعلى فئة LUXURYعداد 91000,695000,Cash,السعر 695000. . . رجاء من التجار يمتنعون لعدم الإحراج والبيع بعقد مسجل وليس توكيل. . . للبيع. . MG RX5 موديل 2019 أعلى فئة LUXURY عداد الكيلومتر 91000 قابل للزيادةفابريكة بالكامل. . مالك أول من الزيرو. . السيارة في الضمان وجميع الصيانات الدورية في التوكيل بالفواتير . . . كاوتش جديد. رخصة سنتين ونصف مرور القاهرة الجديدة. مضاف لهافيلم حماية Bright Shield ضمان 7 سنوات. . . وشنطة كهرباء أصلية فيشة بفيشة. . . ومرايات ضم كهرباء بمفاتيح التحكم الأصلية. . . و إضاءات داخلية Ambient Light. . . و مصفحة موتور أصلية منصور من التوكيل. . . المعاينة في التجمع الخامس. . . . للمزيد من التفاصيل برجاء التواصل على 01001803303,Benzine,90000,99999,Red,Automatic,SUV,1400,1500
